Màu Mắt,Kiểu Mắt,Màu Tóc Tự Nhiên,Màu Da,Kiểu Mũi,Kiểu Tóc,Kiểu Môi,Râu Tóc Lông,Chủng Tộc
Đen,Nhỏ,Nâu,27,Gãy,Lượn sóng,Dày,Thưa,1
Đen,To,Nâu,17,Lỗ mũi to,Lượn sóng,Vừa,Thưa,7
Đen,Nhỏ,Đen,19,Thấp,Thẳng,Dày,Thưa,4
Nâu,Nhỏ,Đen,30,Lỗ mũi to,Thẳng,Vừa,Thưa,2
Nâu,Nhỏ,Đen,24,Cao,Xoăn,Vừa,Rậm,1
Nâu,To,Vàng,18,Thấp,Xoăn,Mỏng,Thưa,5
Nâu,Nhỏ,Đen,27,Thấp,Thẳng,Vừa,Thưa,2
Đen,Nhỏ,Nâu,12,Thấp,Xoăn,Mỏng,Rậm,4
Nâu,To,Nâu,19,Cao,Lượn sóng,Vừa,Thưa,5
Đen,Nhỏ,Nâu,15,Thấp,Xoăn,Dày,Thưa,5
Nâu,Nhỏ,Nâu,21,Gãy,Thẳng,Dày,Thưa,5
Nâu,To,Đen,17,Lỗ mũi to,Xoăn,Vừa,Thưa,5
Lam,Nhỏ,Vàng,19,Cao,Xoăn,Vừa,Rậm,5
Đen,To,Đen,20,Thấp,Thẳng,Vừa,Rậm,5
Lam,To,Nâu,19,Lỗ mũi to,Xoăn,Dày,Rậm,5
Lam,Nhỏ,Nâu,27,Cao,Thẳng,Vừa,Thưa,2
Nâu,To,Đen,26,Gãy,Thẳng,Dày,Thưa,3
Nâu,Vừa,Nâu,29,Lỗ mũi to,Xoăn,Vừa,Thưa,2
Nâu,Nhỏ,Nâu,27,Lỗ mũi to,Xoăn,Mỏng,Thưa,3
Đỏ,To,Nâu,20,Cao,Thẳng,Dày,Thưa,5
Nâu,Nhỏ,Nâu,14,Lỗ mũi to,Thẳng,Vừa,Thưa,4
Vàng,Nhỏ,Nâu,16,Lỗ mũi to,Thẳng,Dày,Thưa,5
Nâu,Nhỏ,Nâu,8,Lỗ mũi to,Xoăn,Mỏng,Rậm,5
Nâu,Nhỏ,Đỏ,17,Gãy,Thẳng,Vừa,Thưa,5
Đen,To,Nâu,18,Gãy,Thẳng,Dày,Rậm,5
Nâu,Nhỏ,Nâu,25,Lỗ mũi to,Thẳng,Vừa,Rậm,1
Đen,To,Đỏ,27,Thấp,Xoăn,Vừa,Thưa,3
Nâu,Nhỏ,Đen,18,Thấp,Lượn sóng,Vừa,Rậm,4
Xám,Vừa,Nâu,26,Cao,Lượn sóng,Vừa,Rậm,1
Lam,Nhỏ,Đen,8,Cao,Thẳng,Dày,Thưa,5
Xám,To,Đen,14,Cao,Xoăn,Mỏng,Rậm,5
Đen,To,Đen,21,Lỗ mũi to,Xoăn,Mỏng,Thưa,5
Nâu,Nhỏ,Đen,22,Thấp,Thẳng,Dày,Rậm,5
Nâu,Nhỏ,Đen,9,Cao,Lượn sóng,Dày,Rậm,5
Vàng,To,Vàng,26,Gãy,Xoăn,Dày,Rậm,2
Nâu,To,Nâu,20,Lỗ mũi to,Xoăn,Dày,Rậm,5
