Màu Mắt,Kiểu Mắt,Màu Tóc Tự Nhiên,Màu Da,Kiểu Mũi,Kiểu Tóc,Kiểu Môi,Râu Tóc Lông,Chủng Tộc
Đen,Vừa,Đỏ,25,Cao,Xoăn,Vừa,Rậm,3.0
Nâu,Vừa,Nâu,29,Thấp,Thẳng,Mỏng,Thưa,3.0
Nâu,Nhỏ,Đen,21,Cao,Thẳng,Mỏng,Rậm,3.0
Đen,Vừa,Nâu,26,Thấp,Thẳng,Dày,Thưa,3.0
Nâu,Nhỏ,Đen,11,Cao,Xoăn,Vừa,Thưa,3.0
Nâu,To,Đen,15,Cao,Lượn sóng,Dày,Thưa,3.0
Lam,To,Vàng,25,Cao,Xoăn,Dày,Thưa,3.0
Nâu,Vừa,Đen,19,Cao,Xoăn,Mỏng,Rậm,3.0
Đen,To,Đen,29,Cao,Thẳng,Dày,Thưa,1.0
Xám,Vừa,Đen,10,Cao,Lượn sóng,Vừa,Rậm,3.0
Nâu,To,Vàng,17,Cao,Thẳng,Vừa,Thưa,3.0
Nâu,Nhỏ,Nâu,21,Thấp,Xoăn,Dày,Rậm,3.0
Đen,Nhỏ,Nâu,26,Thấp,Xoăn,Vừa,Thưa,3.0
Lam,Nhỏ,Nâu,19,Thấp,Thẳng,Vừa,Rậm,3.0
Đen,Nhỏ,Đen,30,Thấp,Lượn sóng,Mỏng,Rậm,2.0
Nâu,Nhỏ,Đen,19,Thấp,Xoăn,Mỏng,Thưa,3.0
Nâu,Vừa,Nâu,21,Thấp,Lượn sóng,Mỏng,Thưa,3.0
Đen,To,Vàng,29,Thấp,Thẳng,Mỏng,Rậm,3.0
Đen,Nhỏ,Đen,22,Thấp,Xoăn,Dày,Thưa,4.0
Lam,To,Nâu,16,Cao,Xoăn,Dày,Thưa,3.0
Nâu,Nhỏ,Nâu,24,Cao,Thẳng,Vừa,Rậm,3.0
Nâu,Nhỏ,Đen,21,Cao,Thẳng,Vừa,Thưa,3.0
Đen,To,Nâu,19,Thấp,Xoăn,Vừa,Rậm,3.0
Đen,Nhỏ,Nâu,20,Thấp,Thẳng,Mỏng,Thưa,3.0
Nâu,To,Đen,24,Thấp,Xoăn,Vừa,Rậm,3.0
Đen,Nhỏ,Đen,22,Thấp,Thẳng,Dày,Rậm,4.0
Xám,Nhỏ,Nâu,21,Thấp,Thẳng,Mỏng,Rậm,3.0
Nâu,Nhỏ,Vàng,27,Cao,Xoăn,Mỏng,Rậm,3.0
Lam,To,Nâu,31,Thấp,Lượn sóng,Mỏng,Rậm,3.0
Đen,Vừa,Nâu,28,Cao,Xoăn,Mỏng,Thưa,3.0
Nâu,Vừa,Nâu,33,Cao,Xoăn,Mỏng,Thưa,3.0
Đen,Nhỏ,Nâu,25,Cao,Xoăn,Vừa,Rậm,3.0
Nâu,To,Nâu,13,Cao,Lượn sóng,Mỏng,Thưa,3.0
Nâu,To,Vàng,31,Cao,Xoăn,Mỏng,Rậm,3.0
Nâu,Nhỏ,Đen,28,Thấp,Thẳng,Vừa,Thưa,3.0
Đen,Nhỏ,Đen,19,Thấp,Xoăn,Mỏng,Rậm,4.0
Nâu,Nhỏ,Nâu,18,Thấp,Xoăn,Mỏng,Thưa,3.0
Nâu,Nhỏ,Đen,23,Thấp,Xoăn,Mỏng,Rậm,3.0
Đen,Nhỏ,Nâu,27,Cao,Thẳng,Dày,Rậm,3.0
Nâu,Nhỏ,Đen,20,Thấp,Thẳng,Dày,Thưa,3.0
Nâu,Nhỏ,Lam,28,Cao,Thẳng,Mỏng,Thưa,3.0
Đen,To,Nâu,22,Cao,Thẳng,Dày,Thưa,3.0
Lam,Nhỏ,Vàng,25,Cao,Xoăn,Dày,Thưa,3.0
Đen,Nhỏ,Đen,22,Cao,Lượn sóng,Vừa,Thưa,4.0
Nâu,To,Đen,31,Thấp,Xoăn,Mỏng,Thưa,3.0
Nâu,Nhỏ,Nâu,23,Thấp,Lượn sóng,Vừa,Rậm,3.0
Nâu,To,Đen,17,Thấp,Xoăn,Vừa,Rậm,3.0
Nâu,Nhỏ,Đen,17,Cao,Xoăn,Dày,Rậm,3.0
Đen,To,Đen,17,Thấp,Xoăn,Mỏng,Thưa,4.0
Đen,To,Vàng,31,Thấp,Thẳng,Vừa,Thưa,3.0
Nâu,Nhỏ,Nâu,18,Thấp,Xoăn,Dày,Thưa,3.0
Nâu,To,Nâu,17,Thấp,Xoăn,Vừa,Rậm,3.0
Đen,Nhỏ,Đen,21,Cao,Lượn sóng,Dày,Thưa,4.0
Nâu,To,Nâu,16,Cao,Thẳng,Vừa,Rậm,3.0
Đen,To,Đen,21,Thấp,Xoăn,Mỏng,Thưa,4.0
Nâu,Nhỏ,Đen,28,Thấp,Xoăn,Dày,Rậm,3.0
Nâu,Nhỏ,Đen,18,Cao,Thẳng,Dày,Thưa,3.0
Nâu,To,Nâu,13,Cao,Lượn sóng,Vừa,Thưa,3.0
Lam,Nhỏ,Nâu,8,Cao,Xoăn,Mỏng,Thưa,3.0
Vàng,To,Đen,12,Cao,Xoăn,Vừa,Thưa,3.0
Nâu,Nhỏ,Nâu,19,Thấp,Thẳng,Dày,Thưa,3.0
Đen,Nhỏ,Đen,10,Thấp,Lượn sóng,Vừa,Rậm,4.0
Đen,To,Nâu,13,Thấp,Xoăn,Dày,Rậm,3.0
Đen,To,Đỏ,15,Thấp,Thẳng,Mỏng,Rậm,3.0
Nâu,Nhỏ,Đen,24,Thấp,Xoăn,Vừa,Thưa,3.0
Đen,Nhỏ,Nâu,18,Cao,Thẳng,Mỏng,Rậm,3.0
Đen,Vừa,Nâu,31,Cao,Xoăn,Vừa,Thưa,3.0
Nâu,To,Đỏ,16,Thấp,Thẳng,Dày,Thưa,3.0
Lam,To,Đen,26,Thấp,Thẳng,Vừa,Rậm,3.0
Nâu,Nhỏ,Nâu,15,Thấp,Thẳng,Mỏng,Thưa,3.0
Đen,Nhỏ,Nâu,11,Cao,Lượn sóng,Vừa,Thưa,3.0
Nâu,To,Đen,16,Thấp,Xoăn,Dày,Thưa,3.0
Đen,Nhỏ,Đen,30,Cao,Xoăn,Dày,Rậm,1.0
