Màu Mắt,Kiểu Mắt,Màu Tóc Tự Nhiên,Màu Da,Kiểu Mũi,Kiểu Tóc,Kiểu Môi,Râu Tóc Lông,Chủng Tộc
Nâu,To,Đỏ,-1,Lỗ mũi to,Lượn sóng,Mỏng,Thưa,3.0
Nâu,Nhỏ,Nâu,-1,Thấp,Xoăn,Dày,Rậm,3.0
Xám,To,Đen,-1,Lỗ mũi to,Lượn sóng,Dày,Thưa,3.0
Đen,To,Nâu,-1,Thấp,Thẳng,Dày,Thưa,3.0
Lam,Nhỏ,Đen,-1,Thấp,Lượn sóng,Mỏng,Thưa,3.0
Đen,To,Đen,-1,Gãy,Xoăn,Vừa,Rậm,3.0
Nâu,Vừa,Nâu,-1,Thấp,Xoăn,Dày,Thưa,3.0
Nâu,Nhỏ,Nâu,-1,Lỗ mũi to,Xoăn,Dày,Thưa,3.0
Nâu,To,Nâu,-1,Lỗ mũi to,Xoăn,Vừa,Rậm,3.0
Lam,Nhỏ,Đen,-1,Lỗ mũi to,Thẳng,Vừa,Rậm,3.0
Đen,Nhỏ,Nâu,-1,Thấp,Xoăn,Mỏng,Rậm,3.0
Nâu,Nhỏ,Nâu,-1,Gãy,Xoăn,Vừa,Thưa,3.0
Đen,To,Nâu,-1,Gãy,Thẳng,Mỏng,Thưa,3.0
Nâu,To,Nâu,-1,Thấp,Xoăn,Vừa,Thưa,3.0
Nâu,To,Đỏ,-1,Lỗ mũi to,Lượn sóng,Mỏng,Thưa,3.0
Đen,Nhỏ,Vàng,-1,Cao,Xoăn,Mỏng,Rậm,3.0
Nâu,Nhỏ,Đen,-1,Thấp,Thẳng,Mỏng,Rậm,3.0
Nâu,Nhỏ,Nâu,-1,Lỗ mũi to,Thẳng,Vừa,Rậm,3.0
Đen,To,Đen,-1,Lỗ mũi to,Xoăn,Dày,Thưa,3.0
Đen,To,Nâu,-1,Cao,Lượn sóng,Dày,Thưa,3.0
Đen,To,Nâu,-1,Lỗ mũi to,Lượn sóng,Mỏng,Rậm,3.0
Nâu,Vừa,Nâu,-1,Thấp,Xoăn,Vừa,Thưa,3.0
Đen,To,Vàng,-1,Thấp,Thẳng,Dày,Rậm,3.0
Nâu,To,Nâu,-1,Thấp,Thẳng,Vừa,Rậm,3.0
Xám,To,Nâu,-1,Lỗ mũi to,Thẳng,Vừa,Thưa,3.0
Xám,Nhỏ,Đen,-1,Gãy,Lượn sóng,Dày,Thưa,3.0
Xám,Nhỏ,Đen,-1,Thấp,Xoăn,Dày,Thưa,3.0
Nâu,Nhỏ,Nâu,-1,Gãy,Lượn sóng,Mỏng,Thưa,3.0
Nâu,Nhỏ,Đen,-1,Lỗ mũi to,Xoăn,Vừa,Thưa,3.0
Nâu,Nhỏ,Nâu,-1,Thấp,Xoăn,Vừa,Rậm,3.0
Nâu,Nhỏ,Đen,-1,Cao,Xoăn,Dày,Rậm,3.0
Nâu,To,Đen,-1,Gãy,Lượn sóng,Mỏng,Rậm,3.0
Nâu,Nhỏ,Nâu,-1,Thấp,Xoăn,Mỏng,Thưa,3.0
Đen,Nhỏ,Đen,-1,Cao,Xoăn,Dày,Rậm,3.0
Đen,To,Đen,-1,Lỗ mũi to,Thẳng,Vừa,Thưa,3.0
Nâu,To,Đen,-1,Thấp,Thẳng,Vừa,Thưa,3.0
Lam,To,Nâu,-1,Cao,Thẳng,Vừa,Thưa,3.0
Đen,To,Đen,-1,Gãy,Thẳng,Vừa,Thưa,3.0
Đen,Nhỏ,Đen,-1,Cao,Thẳng,Mỏng,Thưa,3.0
Nâu,Nhỏ,Đen,-1,Cao,Thẳng,Vừa,Rậm,3.0
Đen,Nhỏ,Nâu,-1,Lỗ mũi to,Thẳng,Vừa,Thưa,3.0
Nâu,Nhỏ,Nâu,-1,Thấp,Thẳng,Mỏng,Rậm,3.0
Đen,Nhỏ,Nâu,-1,Thấp,Thẳng,Vừa,Thưa,3.0
Nâu,Nhỏ,Đen,-1,Lỗ mũi to,Xoăn,Vừa,Rậm,3.0
Nâu,Nhỏ,Nâu,-1,Cao,Thẳng,Dày,Thưa,3.0
Xám,Vừa,Nâu,-1,Lỗ mũi to,Lượn sóng,Vừa,Rậm,3.0
Nâu,Nhỏ,Đen,-1,Cao,Lượn sóng,Vừa,Thưa,3.0
Lam,Nhỏ,Nâu,-1,Thấp,Xoăn,Mỏng,Thưa,3.0
Đen,To,Nâu,-1,Thấp,Xoăn,Mỏng,Thưa,3.0
Xám,To,Nâu,-1,Thấp,Xoăn,Vừa,Thưa,3.0
Đen,To,Đỏ,-1,Cao,Xoăn,Vừa,Rậm,3.0
Đen,Nhỏ,Đen,-1,Thấp,Xoăn,Mỏng,Rậm,3.0
Đen,To,Nâu,-1,Cao,Lượn sóng,Dày,Thưa,3.0
Nâu,Nhỏ,Nâu,-1,Lỗ mũi to,Lượn sóng,Dày,Thưa,3.0
Nâu,Vừa,Nâu,-1,Cao,Thẳng,Vừa,Rậm,3.0
Lam,Nhỏ,Đen,-1,Thấp,Xoăn,Dày,Rậm,3.0
Đen,To,Đen,-1,Lỗ mũi to,Thẳng,Vừa,Rậm,3.0
Lam,Nhỏ,Đen,-1,Thấp,Xoăn,Mỏng,Rậm,3.0
Nâu,To,Nâu,-1,Gãy,Thẳng,Vừa,Rậm,3.0
Đen,Nhỏ,Vàng,-1,Lỗ mũi to,Xoăn,Vừa,Thưa,3.0
Đen,To,Nâu,-1,Thấp,Xoăn,Vừa,Rậm,3.0
Xám,Nhỏ,Nâu,-1,Gãy,Thẳng,Vừa,Thưa,3.0
Nâu,Nhỏ,Đen,-1,Cao,Thẳng,Mỏng,Thưa,3.0
Nâu,Vừa,Đen,-1,Lỗ mũi to,Xoăn,Vừa,Thưa,3.0
Nâu,To,Nâu,-1,Thấp,Xoăn,Dày,Thưa,3.0
Lam,To,Nâu,-1,Cao,Thẳng,Mỏng,Thưa,3.0
Đen,To,Nâu,-1,Cao,Xoăn,Vừa,Rậm,3.0
Xám,Vừa,Đen,-1,Lỗ mũi to,Thẳng,Vừa,Rậm,3.0
Nâu,Nhỏ,Nâu,-1,Lỗ mũi to,Thẳng,Vừa,Thưa,3.0
Lam,Nhỏ,Đen,-1,Cao,Thẳng,Vừa,Thưa,3.0
Nâu,To,Vàng,-1,Lỗ mũi to,Xoăn,Dày,Thưa,3.0
Nâu,Nhỏ,Đen,-1,Thấp,Lượn sóng,Vừa,Rậm,3.0
Đen,To,Đen,-1,Gãy,Lượn sóng,Mỏng,Thưa,3.0
Lam,To,Nâu,-1,Lỗ mũi to,Xoăn,Mỏng,Rậm,3.0
Lam,To,Nâu,-1,Gãy,Thẳng,Vừa,Thưa,3.0
Nâu,To,Đen,-1,Thấp,Thẳng,Mỏng,Thưa,3.0
Lam,To,Nâu,-1,Thấp,Thẳng,Mỏng,Thưa,3.0
Nâu,Nhỏ,Đen,-1,Cao,Thẳng,Mỏng,Thưa,3.0
Nâu,Nhỏ,Đen,-1,Lỗ mũi to,Lượn sóng,Mỏng,Rậm,3.0
Nâu,Nhỏ,Đen,-1,Thấp,Xoăn,Vừa,Thưa,3.0
Đen,To,Đen,-1,Lỗ mũi to,Xoăn,Mỏng,Thưa,3.0
