Màu Mắt,Kiểu Mắt,Màu Tóc Tự Nhiên,Màu Da,Kiểu Mũi,Kiểu Tóc,Kiểu Môi,Râu Tóc Lông,Kiểu Khuôn Mặt,Chủng Tộc
Đen,To,Đen,5,Thấp,Thẳng,Dày,Thưa,Bẹt,Au
Đen,To,Đen,24,Thấp,Lượn sóng,Mỏng,Thưa,Dô,Uc
Đen,To,Đen,21,Thấp,Lượn sóng,Mỏng,Thưa,Dô,Uc
Đen,Nhỏ,Đen,20,Thấp,Lượn sóng,Mỏng,Rậm,Bẹt,Uc
Đen,Nhỏ,Vàng,26,Thấp,Thẳng,Dày,Rậm,Dô,Au
Đen,Nhỏ,Đen,22,Thấp,Thẳng,Mỏng,Rậm,Bẹt,A
Đen,To,Đen,18,Cao,Xoăn,Dày,Rậm,Dài,Uc
Lam,Nhỏ,Đen,18,Thấp,Xoăn,Dày,Rậm,Bẹt,Au
Đen,To,Đen,18,Thấp,Thẳng,Dày,Thưa,Dài,A
Đen,Nhỏ,Đen,27,Thấp,Thẳng,Mỏng,Rậm,Dô,Phi
Đen,Nhỏ,Đen,34,Thấp,Thẳng,Dày,Rậm,Dô,Phi
Đen,To,Đen,18,Thấp,Xoăn,Dày,Rậm,Bẹt,A
Đen,Nhỏ,Đen,21,Thấp,Thẳng,Mỏng,Rậm,Ngắn,A
Đen,To,Đen,30,Thấp,Lượn sóng,Dày,Rậm,Dài,Uc
Đen,Nhỏ,Vàng,23,Thấp,Xoăn,Dày,Rậm,Dài,Au
Đen,Nhỏ,Đen,33,Thấp,Xoăn,Mỏng,Rậm,Dài,Phi
Đen,To,Đen,18,Thấp,Lượn sóng,Mỏng,Rậm,Bẹt,Uc
Đen,To,Đen,28,Thấp,Lượn sóng,Dày,Thưa,Bẹt,Phi
Đen,Nhỏ,Đen,15,Thấp,Xoăn,Dày,Rậm,Bẹt,A
Đen,To,Vàng,29,Thấp,Thẳng,Dày,Rậm,Ngắn,Au
Lam,Nhỏ,Đen,30,Thấp,Xoăn,Dày,Rậm,Bẹt,Au
Đen,To,Đen,24,Cao,Lượn sóng,Dày,Thưa,Dài,Uc
Đen,Nhỏ,Đen,22,Cao,Xoăn,Mỏng,Rậm,Dô,Uc
Đen,Nhỏ,Đen,22,Thấp,Xoăn,Dày,Rậm,Bẹt,A
Đen,To,Đen,23,Thấp,Xoăn,Mỏng,Rậm,Dô,A
Đen,Nhỏ,Đen,29,Thấp,Thẳng,Dày,Thưa,Bẹt,Phi
Đen,Nhỏ,Đen,7,Thấp,Xoăn,Dày,Rậm,Bẹt,Au
Lam,Nhỏ,Đen,26,Thấp,Xoăn,Dày,Rậm,Dài,Au
Đen,To,Đen,14,Thấp,Thẳng,Dày,Rậm,Bẹt,A
Lam,Nhỏ,Đen,28,Thấp,Thẳng,Dày,Rậm,Dô,Au
Đen,To,Đen,19,Thấp,Lượn sóng,Mỏng,Rậm,Bẹt,Uc
Đen,Nhỏ,Đen,27,Thấp,Lượn sóng,Dày,Rậm,Ngắn,Uc
Đen,To,Đen,26,Thấp,Thẳng,Mỏng,Rậm,Ngắn,A
Đen,Nhỏ,Đen,24,Thấp,Thẳng,Dày,Rậm,Dài,A
Đen,To,Đen,10,Thấp,Lượn sóng,Dày,Rậm,Bẹt,A
Đen,Nhỏ,Đen,26,Thấp,Thẳng,Dày,Rậm,Dài,A
Đen,Nhỏ,Đen,26,Thấp,Xoăn,Dày,Rậm,Dài,A
Đen,Nhỏ,Đen,16,Thấp,Thẳng,Dày,Thưa,Bẹt,A
Đen,To,Đen,35,Thấp,Xoăn,Dày,Rậm,Bẹt,Phi
Đen,Nhỏ,Đen,22,Thấp,Thẳng,Mỏng,Thưa,Bẹt,A
Đen,Nhỏ,Đen,18,Thấp,Thẳng,Dày,Rậm,Dô,A
Đen,To,Vàng,26,Thấp,Lượn sóng,Mỏng,Rậm,Ngắn,Au
Đen,Nhỏ,Đen,22,Thấp,Lượn sóng,Dày,Thưa,Dài,Uc
Vàng,To,Đen,29,Thấp,Xoăn,Dày,Thưa,Bẹt,Au
Lam,Nhỏ,Đen,31,Thấp,Thẳng,Dày,Rậm,Bẹt,Au
Lam,Nhỏ,Đen,29,Thấp,Lượn sóng,Mỏng,Rậm,Dài,Au
Đen,To,Đen,23,Thấp,Lượn sóng,Dày,Rậm,Dô,Uc
Đen,To,Đen,24,Thấp,Xoăn,Dày,Rậm,Bẹt,A
Đen,Nhỏ,Đen,21,Thấp,Xoăn,Dày,Rậm,Dài,A
Đen,To,Đen,16,Cao,Thẳng,Mỏng,Thưa,Ngắn,A
Đen,Nhỏ,Đen,26,Thấp,Xoăn,Dày,Thưa,Dài,A
Đen,Nhỏ,Đen,24,Cao,Thẳng,Dày,Thưa,Dài,A
Đen,Nhỏ,Đen,26,Thấp,Lượn sóng,Dày,Thưa,Dài,Uc
Đen,To,Đen,23,Thấp,Xoăn,Dày,Rậm,Ngắn,A
Đen,Nhỏ,Vàng,18,Cao,Xoăn,Dày,Rậm,Dô,Au
Đen,To,Đen,21,Thấp,Lượn sóng,Mỏng,Rậm,Dài,Uc
Đen,Nhỏ,Đen,17,Cao,Xoăn,Dày,Rậm,Bẹt,Uc
Đen,To,Đen,19,Thấp,Lượn sóng,Dày,Rậm,Dài,Uc
Vàng,Nhỏ,Đen,25,Thấp,Thẳng,Dày,Rậm,Bẹt,Au
Đen,To,Đen,22,Thấp,Xoăn,Mỏng,Rậm,Dô,A
Đen,Nhỏ,Đen,17,Thấp,Lượn sóng,Mỏng,Thưa,Dô,Uc
Đen,Nhỏ,Đen,5,Thấp,Thẳng,Dày,Thưa,Dô,Au
Đen,To,Vàng,21,Thấp,Thẳng,Dày,Rậm,Bẹt,Au
Đen,Nhỏ,Đen,31,Cao,Xoăn,Mỏng,Rậm,Bẹt,Phi
Đen,To,Đen,20,Thấp,Thẳng,Mỏng,Rậm,Dô,A
Đen,Nhỏ,Đen,31,Cao,Thẳng,Dày,Rậm,Ngắn,Phi
Đen,To,Đen,20,Thấp,Xoăn,Mỏng,Thưa,Dô,A
Đen,To,Đen,19,Thấp,Thẳng,Mỏng,Thưa,Bẹt,A
Đen,To,Đen,19,Cao,Thẳng,Mỏng,Rậm,Dô,Uc
Đen,Nhỏ,Vàng,28,Thấp,Xoăn,Dày,Rậm,Dô,Au
Lam,To,Vàng,21,Thấp,Lượn sóng,Dày,Rậm,Bẹt,Au
Lam,Nhỏ,Đen,21,Thấp,Lượn sóng,Mỏng,Rậm,Bẹt,Au
Đen,To,Đen,20,Thấp,Lượn sóng,Mỏng,Rậm,Bẹt,Uc
Đen,To,Đen,24,Thấp,Xoăn,Dày,Rậm,Bẹt,A
Đen,To,Đen,22,Thấp,Lượn sóng,Mỏng,Rậm,Dài,Uc
Đen,Nhỏ,Đen,19,Cao,Lượn sóng,Dày,Rậm,Dô,Uc
Lam,Nhỏ,Đỏ,25,Cao,Lượn sóng,Dày,Rậm,Bẹt,Au
Đen,Nhỏ,Đen,12,Thấp,Thẳng,Mỏng,Thưa,Bẹt,A
Đen,Nhỏ,Đen,35,Thấp,Xoăn,Mỏng,Rậm,Bẹt,Phi
Đen,Nhỏ,Đen,22,Thấp,Xoăn,Dày,Rậm,Bẹt,A
Đen,Nhỏ,Đen,25,Cao,Lượn sóng,Dày,Thưa,Dô,Uc
Đen,Nhỏ,Đen,19,Thấp,Xoăn,Dày,Thưa,Dài,A
Đen,Nhỏ,Đen,10,Thấp,Lượn sóng,Dày,Rậm,Bẹt,A
Đen,Nhỏ,Đen,31,Cao,Xoăn,Dày,Rậm,Dài,Phi
Đen,To,Đen,23,Thấp,Thẳng,Dày,Thưa,Ngắn,A
