Màu Mắt,Kiểu Mắt,Màu Tóc Tự Nhiên,Màu Da,Kiểu Mũi,Kiểu Tóc,Kiểu Môi,Râu Tóc Lông,Chủng Tộc
Đen,Nhỏ,Đen,27,Cao,Lượn sóng,Dày,Thưa,Phi
Đen,Nhỏ,Đen,19,Thấp,Thẳng,Dày,Thưa,Au
Đen,Nhỏ,Đen,30,Thấp,Thẳng,Vừa,Thưa,Uc
Đen,Nhỏ,Đen,24,Cao,Xoăn,Vừa,Rậm,Phi
Đen,Nhỏ,Đen,27,Thấp,Thẳng,Vừa,Thưa,Uc
Đen,Nhỏ,Đen,12,Thấp,Xoăn,Mỏng,Rậm,Au
Lam,Nhỏ,Đen,27,Cao,Thẳng,Vừa,Thưa,Uc
Đen,Vừa,Đen,29,Thấp,Xoăn,Vừa,Thưa,Uc
Đen,Nhỏ,Đen,14,Thấp,Thẳng,Vừa,Thưa,Au
Đen,Nhỏ,Đen,25,Thấp,Thẳng,Vừa,Rậm,Phi
Đen,Nhỏ,Đen,18,Thấp,Lượn sóng,Vừa,Rậm,Au
Xám,Vừa,Đen,26,Cao,Lượn sóng,Vừa,Rậm,Phi
Vàng,To,Vàng,26,Cao,Xoăn,Dày,Rậm,Uc
Đen,Nhỏ,Đen,25,Thấp,Lượn sóng,Dày,Thưa,Uc
Đen,Vừa,Đen,29,Thấp,Xoăn,Vừa,Rậm,Phi
Đen,To,Đen,24,Cao,Lượn sóng,Mỏng,Thưa,Phi
Đen,To,Đen,20,Thấp,Xoăn,Mỏng,Rậm,Au
Đen,Nhỏ,Đen,20,Cao,Thẳng,Vừa,Thưa,Au
Đen,To,Đen,14,Thấp,Thẳng,Mỏng,Rậm,Au
Đen,Vừa,Đen,20,Cao,Thẳng,Vừa,Rậm,Au
Đen,To,Đen,25,Thấp,Xoăn,Vừa,Rậm,Phi
Đen,To,Đỏ,31,Thấp,Xoăn,Dày,Thưa,Phi
Lam,To,Đen,22,Cao,Xoăn,Vừa,Rậm,Au
Đen,To,Vàng,28,Cao,Xoăn,Dày,Thưa,Uc
Đen,Nhỏ,Đen,19,Thấp,Thẳng,Mỏng,Thưa,Au
Đen,Nhỏ,Đen,24,Cao,Thẳng,Vừa,Thưa,Uc
Đen,To,Lam,31,Thấp,Xoăn,Dày,Thưa,Uc
Lam,Vừa,Đen,32,Cao,Xoăn,Mỏng,Rậm,Uc
Đen,Nhỏ,Đen,31,Thấp,Lượn sóng,Mỏng,Thưa,Uc
Đen,Nhỏ,Đen,17,Cao,Lượn sóng,Mỏng,Rậm,A
Đen,Nhỏ,Đen,12,Thấp,Lượn sóng,Dày,Rậm,Au
Đen,To,Đen,28,Thấp,Lượn sóng,Mỏng,Rậm,Phi
Đen,To,Đen,21,Cao,Lượn sóng,Dày,Thưa,Au
Đen,To,Đen,24,Thấp,Lượn sóng,Vừa,Thưa,Phi
Đen,Nhỏ,Đen,16,Cao,Thẳng,Vừa,Thưa,Au
Đen,Nhỏ,Đen,27,Thấp,Xoăn,Dày,Thưa,Phi
Đen,To,Vàng,32,Thấp,Xoăn,Vừa,Rậm,Phi
Đen,To,Vàng,23,Thấp,Lượn sóng,Mỏng,Rậm,Au
Đen,Nhỏ,Đen,26,Cao,Xoăn,Mỏng,Thưa,Uc
Đen,To,Đen,26,Thấp,Xoăn,Mỏng,Thưa,Uc
Đen,Nhỏ,Vàng,31,Thấp,Thẳng,Dày,Thưa,Phi
Đen,To,Đen,24,Thấp,Thẳng,Mỏng,Thưa,Phi
Đen,Vừa,Đen,25,Thấp,Thẳng,Mỏng,Thưa,Phi
Đen,To,Đen,13,Thấp,Xoăn,Vừa,Thưa,Au
Đen,Vừa,Đen,33,Cao,Thẳng,Mỏng,Rậm,Uc
Đen,To,Đen,28,Thấp,Xoăn,Mỏng,Rậm,Uc
Đen,Vừa,Đen,27,Thấp,Xoăn,Vừa,Thưa,Uc
Đen,To,Đen,15,Cao,Xoăn,Mỏng,Rậm,Au
Đen,To,Vàng,28,Cao,Xoăn,Vừa,Thưa,Phi
Đen,Vừa,Đen,16,Thấp,Lượn sóng,Dày,Rậm,A
Đen,Nhỏ,Đen,11,Thấp,Xoăn,Mỏng,Rậm,Au
Đen,To,Vàng,31,Cao,Thẳng,Mỏng,Thưa,Phi
Đen,Nhỏ,Đen,32,Thấp,Thẳng,Dày,Rậm,Uc
Đen,Nhỏ,Đen,25,Cao,Xoăn,Vừa,Thưa,Phi
Đen,Nhỏ,Đen,26,Thấp,Xoăn,Dày,Thưa,Uc
Đen,Nhỏ,Đỏ,20,Cao,Lượn sóng,Mỏng,Thưa,A
Đen,Vừa,Đen,27,Thấp,Lượn sóng,Mỏng,Rậm,Uc
Đen,Vừa,Đen,17,Thấp,Thẳng,Mỏng,Thưa,Au
Đen,To,Đỏ,25,Cao,Lượn sóng,Dày,Thưa,Phi
Lam,To,Vàng,15,Thấp,Thẳng,Mỏng,Rậm,Au
Lam,Nhỏ,Đen,27,Thấp,Xoăn,Dày,Rậm,Uc
Đen,To,Đen,20,Thấp,Xoăn,Mỏng,Thưa,Au
Đen,To,Đen,26,Thấp,Thẳng,Mỏng,Rậm,Uc
Đen,To,Đen,29,Thấp,Xoăn,Mỏng,Thưa,Phi
Lam,To,Đen,29,Thấp,Lượn sóng,Mỏng,Rậm,Uc
Đen,To,Đen,25,Thấp,Thẳng,Mỏng,Rậm,Phi
Đen,Nhỏ,Đen,27,Cao,Xoăn,Dày,Rậm,Uc
Đen,To,Đen,34,Thấp,Thẳng,Mỏng,Thưa,Uc
Xám,To,Đen,39,Cao,Thẳng,Dày,Thưa,Phi
Đen,To,Đen,15,Cao,Lượn sóng,Vừa,Rậm,Au
Vàng,Nhỏ,Đen,9,Cao,Thẳng,Vừa,Rậm,Au
Đen,Nhỏ,Đen,31,Thấp,Lượn sóng,Mỏng,Rậm,Phi
Đen,To,Đen,25,Thấp,Lượn sóng,Dày,Rậm,Phi
Đen,Nhỏ,Vàng,24,Thấp,Lượn sóng,Dày,Thưa,Phi
Đen,Vừa,Đen,28,Thấp,Xoăn,Dày,Rậm,Phi
Đen,Vừa,Đen,14,Cao,Thẳng,Dày,Thưa,Au
Đen,To,Đen,17,Cao,Lượn sóng,Dày,Thưa,Au
