Màu Mắt,Kiểu Mắt,Màu Tóc Tự Nhiên,Màu Da,Kiểu Mũi,Kiểu Tóc,Kiểu Môi,Râu Tóc Lông,Chủng Tộc
Lam,To,Đen,1,Thấp,Thẳng,Mỏng,Thưa,Au
Đen,Nhỏ,Đen,27,Cao,Thẳng,Dày,Rậm,Phi
Đen,Nhỏ,Đen,17,Cao,Xoăn,Mỏng,Thưa,A
Lam,To,Vàng,9,Thấp,Lượn sóng,Mỏng,Thưa,Au
Đen,To,Vàng,11,Cao,Xoăn,Vừa,Thưa,Au
Đen,Nhỏ,Đen,7,Thấp,Xoăn,Vừa,Rậm,Au
Đen,Nhỏ,Đen,5,Cao,Lượn sóng,Vừa,Thưa,Au
Đen,To,Vàng,9,Thấp,Xoăn,Vừa,Thưa,Au
Đen,To,Đen,16,Thấp,Thẳng,Vừa,Rậm,A
Lam,Nhỏ,Đen,10,Cao,Lượn sóng,Mỏng,Thưa,Au
Đỏ,Nhỏ,Đen,18,Cao,Thẳng,Dày,Rậm,Au
Lam,Nhỏ,Đen,29,Cao,Lượn sóng,Mỏng,Thưa,Au
Đen,Nhỏ,Đen,10,Thấp,Thẳng,Vừa,Rậm,A
Đen,To,Vàng,30,Thấp,Thẳng,Vừa,Thưa,Au
Đen,Nhỏ,Đen,14,Cao,Lượn sóng,Mỏng,Thưa,A
Đen,To,Vàng,8,Thấp,Xoăn,Dày,Rậm,Au
Đen,Nhỏ,Đen,17,Thấp,Lượn sóng,Dày,Rậm,Uc
Đen,Nhỏ,Đen,16,Thấp,Thẳng,Vừa,Thưa,A
Đen,To,Đen,26,Cao,Lượn sóng,Vừa,Rậm,A
Lam,To,Vàng,26,Cao,Lượn sóng,Dày,Rậm,Au
Xám,Nhỏ,Đen,5,Cao,Xoăn,Dày,Thưa,Au
Đen,Nhỏ,Đen,28,Thấp,Thẳng,Mỏng,Thưa,A
Lam,To,Vàng,18,Cao,Xoăn,Dày,Rậm,Au
Đen,To,Đen,31,Cao,Xoăn,Vừa,Thưa,Phi
Đen,To,Đen,23,Cao,Xoăn,Mỏng,Rậm,A
Lam,Nhỏ,Đen,35,Thấp,Lượn sóng,Dày,Thưa,Au
Đen,Nhỏ,Đen,13,Thấp,Thẳng,Mỏng,Thưa,A
Xám,Nhỏ,Vàng,10,Cao,Xoăn,Dày,Thưa,Au
Đen,Nhỏ,Đen,22,Cao,Xoăn,Vừa,Thưa,A
Đen,Nhỏ,Vàng,14,Cao,Thẳng,Vừa,Thưa,Au
Đen,Nhỏ,Vàng,17,Thấp,Xoăn,Dày,Thưa,Au
Đen,Nhỏ,Đen,19,Thấp,Thẳng,Dày,Rậm,A
Đen,Nhỏ,Đen,26,Cao,Lượn sóng,Mỏng,Rậm,A
Đen,To,Vàng,1,Cao,Lượn sóng,Vừa,Rậm,Au
Đen,Nhỏ,Đen,27,Thấp,Thẳng,Mỏng,Thưa,A
Đen,To,Vàng,16,Thấp,Thẳng,Vừa,Thưa,Au
Đen,Nhỏ,Đen,21,Thấp,Xoăn,Vừa,Rậm,A
Lam,Nhỏ,Đen,30,Cao,Lượn sóng,Vừa,Thưa,Au
Lam,Nhỏ,Đen,11,Cao,Lượn sóng,Vừa,Rậm,Au
Đen,Nhỏ,Đen,14,Thấp,Xoăn,Dày,Thưa,A
Đen,Nhỏ,Đen,28,Thấp,Xoăn,Dày,Thưa,Phi
Đen,Nhỏ,Đen,20,Cao,Thẳng,Vừa,Thưa,A
Đen,To,Đen,2,Cao,Thẳng,Mỏng,Rậm,Au
Đen,Nhỏ,Đen,25,Cao,Thẳng,Dày,Thưa,A
Đen,Nhỏ,Đen,12,Thấp,Thẳng,Vừa,Thưa,A
Đen,Nhỏ,Vàng,15,Thấp,Thẳng,Vừa,Rậm,Au
Đỏ,To,Đen,32,Cao,Thẳng,Dày,Thưa,Au
Đen,Nhỏ,Đỏ,17,Cao,Lượn sóng,Mỏng,Rậm,Au
Xám,To,Vàng,9,Cao,Thẳng,Vừa,Thưa,Au
Đen,To,Đen,8,Thấp,Thẳng,Mỏng,Thưa,Au
Đen,Nhỏ,Đen,24,Cao,Thẳng,Vừa,Thưa,A
Đen,To,Vàng,25,Thấp,Lượn sóng,Dày,Rậm,Au
Đen,Nhỏ,Đen,16,Thấp,Xoăn,Vừa,Rậm,A
Đen,Nhỏ,Đen,32,Cao,Lượn sóng,Mỏng,Thưa,Uc
Đen,To,Đen,8,Thấp,Xoăn,Dày,Rậm,Au
Lam,To,Đen,30,Thấp,Thẳng,Mỏng,Thưa,Au
Lam,Nhỏ,Đen,21,Cao,Xoăn,Mỏng,Rậm,Au
Đen,To,Đen,16,Thấp,Xoăn,Dày,Thưa,A
Đen,Nhỏ,Đen,4,Cao,Thẳng,Dày,Thưa,Au
Đen,Nhỏ,Đen,4,Cao,Xoăn,Dày,Thưa,Au
Đen,To,Vàng,10,Thấp,Thẳng,Vừa,Rậm,Au
Đen,Nhỏ,Đen,13,Thấp,Lượn sóng,Mỏng,Thưa,A
Đen,Nhỏ,Đen,15,Cao,Xoăn,Vừa,Rậm,Au
Đen,To,Vàng,28,Cao,Xoăn,Dày,Thưa,Au
Đen,Nhỏ,Đen,31,Thấp,Lượn sóng,Mỏng,Thưa,Uc
Đen,To,Đen,12,Cao,Lượn sóng,Mỏng,Thưa,A
Đen,Nhỏ,Vàng,16,Thấp,Thẳng,Vừa,Thưa,Au
Đen,To,Đen,22,Thấp,Thẳng,Vừa,Thưa,A
Lam,Nhỏ,Vàng,25,Thấp,Thẳng,Vừa,Rậm,Au
Tím,Nhỏ,Đen,15,Thấp,Xoăn,Vừa,Thưa,Au
Đen,To,Đen,16,Thấp,Thẳng,Vừa,Thưa,A
Lam,To,Vàng,20,Thấp,Thẳng,Vừa,Thưa,Au
Đen,Nhỏ,Đen,10,Thấp,Xoăn,Dày,Rậm,A
Vàng,To,Vàng,4,Thấp,Lượn sóng,Mỏng,Thưa,Au
Đen,To,Đen,27,Cao,Thẳng,Mỏng,Thưa,A
Đen,Nhỏ,Đen,12,Thấp,Thẳng,Vừa,Rậm,A
Đen,Nhỏ,Đen,12,Cao,Lượn sóng,Dày,Rậm,Au
Lam,Nhỏ,Đen,22,Thấp,Thẳng,Vừa,Rậm,Au
Lam,Nhỏ,Đen,4,Thấp,Lượn sóng,Dày,Rậm,Au
Đen,Nhỏ,Đen,27,Cao,Xoăn,Vừa,Thưa,A
Lam,To,Đen,18,Thấp,Xoăn,Dày,Thưa,Au
Đen,To,Đen,27,Thấp,Thẳng,Mỏng,Thưa,A
Đen,To,Đen,9,Cao,Thẳng,Vừa,Thưa,Au
Vàng,Nhỏ,Đen,12,Cao,Lượn sóng,Dày,Thưa,Au
Đen,Nhỏ,Đen,7,Thấp,Lượn sóng,Vừa,Thưa,Au
Đen,Nhỏ,Vàng,19,Thấp,Thẳng,Dày,Thưa,Au
Đen,Nhỏ,Vàng,5,Cao,Lượn sóng,Dày,Thưa,Au
Đen,Nhỏ,Đen,5,Thấp,Lượn sóng,Vừa,Thưa,Au
Đen,To,Đen,9,Cao,Thẳng,Mỏng,Thưa,Au
Đen,Nhỏ,Đen,20,Thấp,Thẳng,Vừa,Rậm,A
Đen,To,Đen,12,Thấp,Xoăn,Dày,Thưa,A
Lam,To,Vàng,12,Thấp,Lượn sóng,Vừa,Rậm,Au
Đen,Nhỏ,Đen,14,Thấp,Lượn sóng,Dày,Rậm,A
Đen,To,Vàng,12,Thấp,Xoăn,Dày,Rậm,Au
Lam,Nhỏ,Đen,24,Cao,Thẳng,Dày,Thưa,Au
Lam,Nhỏ,Đen,14,Cao,Xoăn,Vừa,Rậm,Au
Đen,Nhỏ,Đen,23,Thấp,Thẳng,Dày,Rậm,A
Đen,To,Đen,11,Cao,Lượn sóng,Vừa,Rậm,Au
Đen,Nhỏ,Đen,26,Cao,Lượn sóng,Dày,Rậm,Uc
Đen,To,Đen,1,Thấp,Thẳng,Dày,Thưa,Au
Đen,Nhỏ,Đen,34,Thấp,Lượn sóng,Vừa,Thưa,Uc
Đen,To,Đen,12,Thấp,Xoăn,Vừa,Thưa,A
Đen,Nhỏ,Đen,12,Thấp,Thẳng,Dày,Rậm,A
Đen,Nhỏ,Đen,27,Cao,Xoăn,Vừa,Thưa,A
Đen,To,Đen,12,Thấp,Lượn sóng,Vừa,Rậm,A
Xám,To,Vàng,6,Cao,Lượn sóng,Dày,Rậm,Au
Đen,To,Đen,16,Thấp,Thẳng,Dày,Thưa,A
Đen,Nhỏ,Đen,15,Thấp,Lượn sóng,Vừa,Rậm,A
Đen,Nhỏ,Đen,14,Thấp,Thẳng,Vừa,Thưa,A
Đen,Nhỏ,Đen,9,Thấp,Xoăn,Vừa,Thưa,Au
Đen,Nhỏ,Đen,8,Cao,Xoăn,Vừa,Rậm,Au
Đen,Nhỏ,Đen,29,Thấp,Xoăn,Mỏng,Thưa,Phi
Đen,To,Vàng,22,Cao,Lượn sóng,Vừa,Rậm,Au
Đen,To,Đen,17,Thấp,Thẳng,Mỏng,Rậm,A
Đen,To,Vàng,31,Thấp,Xoăn,Mỏng,Rậm,Au
Đen,To,Vàng,15,Thấp,Xoăn,Dày,Rậm,Au
Đen,To,Đen,13,Thấp,Lượn sóng,Dày,Thưa,A
Xám,Nhỏ,Đen,20,Cao,Thẳng,Vừa,Thưa,Au
Đen,To,Đen,20,Cao,Xoăn,Dày,Thưa,A
