@relation tonghop

@attribute 'Màu Mắt' {Đen,Lam,Vàng}
@attribute 'Kiểu Mắt' {Nhỏ,To}
@attribute 'Màu Tóc Tự Nhiên' {Đen,Vàng,Đỏ}
@attribute 'Màu Da' {'Nâu Vừa','Nâu Sậm','Trắng Vàng','Trắng Sáng'}
@attribute 'Kiểu Mũi' {Thấp,Cao}
@attribute 'Kiểu Tóc' {'Lượn sóng',Thẳng,Xoăn}
@attribute 'Kiểu Môi' {Dày,Mỏng}
@attribute 'Râu Tóc Lông' {Thưa,Rậm}
@attribute 'Kiểu Khuôn Mặt' {Dô,Bẹt,Dài,Ngắn}
@attribute 'Chủng Tộc' {Uc,Au,A,Phi}

@data
Đen,Nhỏ,Đen,'Nâu Sậm',Cao,'Lượn sóng',Dày,Thưa,Bẹt,Phi
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,Thẳng,Dày,Thưa,Dài,Au
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,Thẳng,Mỏng,Thưa,Dô,Uc
Đen,Nhỏ,Đen,'Nâu Vừa',Cao,Xoăn,Mỏng,Rậm,Dô,Phi
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,Thẳng,Mỏng,Thưa,Dô,Uc
Đen,Nhỏ,Đen,'Trắng Vàng',Thấp,Xoăn,Mỏng,Rậm,Bẹt,Au
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,Xoăn,Mỏng,Thưa,Bẹt,Uc
Đen,Nhỏ,Đen,'Trắng Vàng',Thấp,Thẳng,Mỏng,Thưa,Bẹt,Au
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,Thẳng,Mỏng,Rậm,Dài,Phi
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,'Lượn sóng',Mỏng,Rậm,Dô,Au
Lam,Nhỏ,Đen,'Nâu Vừa',Cao,'Lượn sóng',Mỏng,Rậm,Bẹt,Phi
Vàng,To,Vàng,'Nâu Vừa',Cao,Xoăn,Dày,Rậm,Ngắn,Uc
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,'Lượn sóng',Dày,Thưa,Dài,Uc
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,Xoăn,Mỏng,Rậm,Bẹt,Phi
Đen,To,Đen,'Nâu Vừa',Cao,'Lượn sóng',Mỏng,Thưa,Dài,Phi
Đen,To,Đen,'Nâu Vừa',Thấp,Xoăn,Mỏng,Rậm,Bẹt,Au
Đen,Nhỏ,Đen,'Nâu Vừa',Cao,Thẳng,Mỏng,Thưa,Dài,Au
Đen,To,Đen,'Trắng Vàng',Thấp,Thẳng,Mỏng,Rậm,Dô,Au
Đen,Nhỏ,Đen,'Nâu Vừa',Cao,Thẳng,Mỏng,Rậm,Dô,Au
Đen,To,Đen,'Nâu Vừa',Thấp,Xoăn,Mỏng,Rậm,Bẹt,Phi
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,Thẳng,Dày,Rậm,Dô,Uc
Đen,Nhỏ,Đen,'Nâu Vừa',Cao,Xoăn,Mỏng,Thưa,Dô,Phi
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,Xoăn,Dày,Thưa,Dài,Uc
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,'Lượn sóng',Mỏng,Rậm,Dô,Uc
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,Thẳng,Mỏng,Thưa,Dài,Au
Lam,To,Vàng,'Nâu Vừa',Thấp,Thẳng,Mỏng,Rậm,Dài,Au
Đen,To,Đen,'Nâu Vừa',Thấp,Xoăn,Mỏng,Thưa,Dài,Au
Đen,To,Đen,'Nâu Vừa',Thấp,Thẳng,Mỏng,Rậm,Bẹt,Uc
Đen,To,Đen,'Nâu Sậm',Thấp,Xoăn,Mỏng,Thưa,Ngắn,Phi
Đen,To,Đen,'Nâu Vừa',Thấp,Xoăn,Mỏng,Rậm,Dô,Au
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,Xoăn,Mỏng,Thưa,Bẹt,Au
Lam,To,Đen,'Nâu Vừa',Thấp,'Lượn sóng',Mỏng,Thưa,Dô,Au
Lam,Nhỏ,Đen,'Trắng Vàng',Thấp,'Lượn sóng',Mỏng,Rậm,Bẹt,Au
Đen,To,Đen,'Nâu Vừa',Thấp,Thẳng,Mỏng,Thưa,Dô,Au
Đen,To,Đen,'Nâu Vừa',Cao,Thẳng,Mỏng,Thưa,Dài,Au
Đen,To,Đen,'Nâu Vừa',Thấp,Thẳng,Mỏng,Rậm,Dô,Phi
Đen,Nhỏ,Đen,'Nâu Sậm',Cao,Xoăn,Dày,Rậm,Dài,Uc
Đen,To,Đen,'Nâu Sậm',Thấp,Thẳng,Mỏng,Thưa,Bẹt,Uc
Lam,To,Đen,'Nâu Sậm',Cao,Thẳng,Dày,Thưa,Ngắn,Phi
Đen,To,Đen,'Nâu Vừa',Cao,'Lượn sóng',Mỏng,Rậm,Dài,Au
Vàng,Nhỏ,Đen,'Trắng Sáng',Cao,Thẳng,Mỏng,Rậm,Bẹt,Au
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,'Lượn sóng',Mỏng,Rậm,Bẹt,Phi
Đen,To,Đen,'Nâu Vừa',Thấp,'Lượn sóng',Dày,Rậm,Bẹt,Phi
Đen,Nhỏ,Vàng,'Nâu Vừa',Thấp,'Lượn sóng',Dày,Thưa,Bẹt,Phi
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,Xoăn,Dày,Rậm,Dô,Phi
Đen,Nhỏ,Đen,'Trắng Vàng',Cao,Thẳng,Dày,Thưa,Bẹt,Au
Đen,To,Đen,'Nâu Vừa',Cao,'Lượn sóng',Dày,Thưa,Bẹt,Au
Đen,To,Đen,'Nâu Vừa',Cao,Xoăn,Mỏng,Rậm,Bẹt,Au
Đen,Nhỏ,Đen,'Nâu Sậm',Cao,Thẳng,Mỏng,Thưa,Dô,Uc
Lam,Nhỏ,Đen,'Nâu Sậm',Thấp,Xoăn,Mỏng,Rậm,Ngắn,Phi
Đen,To,Đen,'Nâu Vừa',Thấp,Xoăn,Dày,Thưa,Bẹt,Au
Lam,Nhỏ,Đen,'Nâu Sậm',Thấp,Xoăn,Mỏng,Rậm,Ngắn,Uc
Vàng,Nhỏ,Đen,'Nâu Sậm',Thấp,Xoăn,Mỏng,Rậm,Dài,Phi
Vàng,To,Vàng,'Trắng Sáng',Thấp,Thẳng,Dày,Thưa,Bẹt,Au
Đen,Nhỏ,Vàng,'Nâu Vừa',Cao,Xoăn,Mỏng,Rậm,Dô,Uc
Đen,Nhỏ,Đen,'Trắng Vàng',Thấp,Xoăn,Dày,Rậm,Bẹt,Au
Đen,Nhỏ,Đen,'Nâu Sậm',Cao,Thẳng,Dày,Rậm,Bẹt,Uc
Lam,Nhỏ,Đen,'Nâu Sậm',Thấp,Thẳng,Dày,Thưa,Dài,Phi
Đen,Nhỏ,Đen,'Nâu Vừa',Cao,Thẳng,Mỏng,Rậm,Dài,Phi
Đen,Nhỏ,Đen,'Nâu Sậm',Cao,Xoăn,Mỏng,Thưa,Bẹt,Phi
Đen,To,Đen,'Nâu Vừa',Cao,'Lượn sóng',Dày,Thưa,Bẹt,Uc
Đen,To,Vàng,'Nâu Vừa',Thấp,Xoăn,Mỏng,Rậm,Bẹt,Uc
Đen,To,Đen,'Nâu Vừa',Thấp,'Lượn sóng',Dày,Thưa,Dài,A
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,Xoăn,Mỏng,Rậm,Dô,Au
Lam,To,Đen,'Nâu Sậm',Thấp,'Lượn sóng',Dày,Thưa,Bẹt,Uc
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,Xoăn,Mỏng,Thưa,Bẹt,Au
Đen,Nhỏ,Đen,'Nâu Sậm',Thấp,Thẳng,Dày,Rậm,Dài,Phi
Đen,Nhỏ,Đen,'Nâu Vừa',Thấp,'Lượn sóng',Mỏng,Thưa,Dô,A
Đen,Nhỏ,Đen,'Nâu Sậm',Cao,'Lượn sóng',Dày,Thưa,Bẹt,Uc
Đen,Nhỏ,Đen,'Trắng Vàng',Cao,'Lượn sóng',Mỏng,Rậm,Bẹt,A
