Màu Mắt,Kiểu Mắt,Màu Tóc Tự Nhiên,Màu Da,Kiểu Mũi,Kiểu Tóc,Kiểu Môi,Râu Tóc Lông,Chủng Tộc
Đen,Nhỏ,Đen,Nâu Sậm,Cao,Lượn sóng,Dày,Thưa,Phi
Đen,Nhỏ,Đen,Nâu Vừa,Thấp,Thẳng,Dày,Thưa,Au
Đen,Nhỏ,Đen,Nâu Sậm,Thấp,Thẳng,Vừa,Thưa,Uc
Đen,Nhỏ,Đen,Nâu Vừa,Cao,Xoăn,Vừa,Rậm,Phi
Đen,Nhỏ,Đen,Nâu Sậm,Thấp,Thẳng,Vừa,Thưa,Uc
Đen,Nhỏ,Đen,Trắng Vàng,Thấp,Xoăn,Mỏng,Rậm,Au
Lam,Nhỏ,Đen,Nâu Sậm,Cao,Thẳng,Vừa,Thưa,Uc
Đen,Vừa,Đen,Nâu Sậm,Thấp,Xoăn,Vừa,Thưa,Uc
Đen,Nhỏ,Đen,Trắng Vàng,Thấp,Thẳng,Vừa,Thưa,Au
Đen,Nhỏ,Đen,Nâu Vừa,Thấp,Thẳng,Vừa,Rậm,Phi
Đen,Nhỏ,Đen,Nâu Vừa,Thấp,Lượn sóng,Vừa,Rậm,Au
Xám,Vừa,Đen,Nâu Vừa,Cao,Lượn sóng,Vừa,Rậm,Phi
Vàng,To,Vàng,Nâu Vừa,Cao,Xoăn,Dày,Rậm,Uc
Đen,Nhỏ,Đen,Nâu Vừa,Thấp,Lượn sóng,Dày,Thưa,Uc
Đen,Vừa,Đen,Nâu Sậm,Thấp,Xoăn,Vừa,Rậm,Phi
Đen,To,Đen,Nâu Vừa,Cao,Lượn sóng,Mỏng,Thưa,Phi
Đen,To,Đen,Nâu Vừa,Thấp,Xoăn,Mỏng,Rậm,Au
Đen,Nhỏ,Đen,Nâu Vừa,Cao,Thẳng,Vừa,Thưa,Au
Đen,To,Đen,Trắng Vàng,Thấp,Thẳng,Mỏng,Rậm,Au
Đen,Vừa,Đen,Nâu Vừa,Cao,Thẳng,Vừa,Rậm,Au
Đen,To,Đen,Nâu Vừa,Thấp,Xoăn,Vừa,Rậm,Phi
Đen,To,Đỏ,Nâu Sậm,Thấp,Xoăn,Dày,Thưa,Phi
Lam,To,Đen,Nâu Vừa,Cao,Xoăn,Vừa,Rậm,Au
Đen,To,Vàng,Nâu Sậm,Cao,Xoăn,Dày,Thưa,Uc
Đen,Nhỏ,Đen,Nâu Vừa,Thấp,Thẳng,Mỏng,Thưa,Au
Đen,Nhỏ,Đen,Nâu Vừa,Cao,Thẳng,Vừa,Thưa,Uc
Đen,To,Lam,Nâu Sậm,Thấp,Xoăn,Dày,Thưa,Uc
Lam,Vừa,Đen,Nâu Sậm,Cao,Xoăn,Mỏng,Rậm,Uc
Đen,Nhỏ,Đen,Nâu Sậm,Thấp,Lượn sóng,Mỏng,Thưa,Uc
Đen,Nhỏ,Đen,Nâu Vừa,Cao,Lượn sóng,Mỏng,Rậm,A
Đen,Nhỏ,Đen,Trắng Vàng,Thấp,Lượn sóng,Dày,Rậm,Au
Đen,To,Đen,Nâu Sậm,Thấp,Lượn sóng,Mỏng,Rậm,Phi
Đen,To,Đen,Nâu Vừa,Cao,Lượn sóng,Dày,Thưa,Au
Đen,To,Đen,Nâu Vừa,Thấp,Lượn sóng,Vừa,Thưa,Phi
Đen,Nhỏ,Đen,Nâu Vừa,Cao,Thẳng,Vừa,Thưa,Au
Đen,Nhỏ,Đen,Nâu Sậm,Thấp,Xoăn,Dày,Thưa,Phi
Đen,To,Vàng,Nâu Sậm,Thấp,Xoăn,Vừa,Rậm,Phi
Đen,To,Vàng,Nâu Vừa,Thấp,Lượn sóng,Mỏng,Rậm,Au
Đen,Nhỏ,Đen,Nâu Vừa,Cao,Xoăn,Mỏng,Thưa,Uc
Đen,To,Đen,Nâu Vừa,Thấp,Xoăn,Mỏng,Thưa,Uc
Đen,Nhỏ,Vàng,Nâu Sậm,Thấp,Thẳng,Dày,Thưa,Phi
Đen,To,Đen,Nâu Vừa,Thấp,Thẳng,Mỏng,Thưa,Phi
Đen,Vừa,Đen,Nâu Vừa,Thấp,Thẳng,Mỏng,Thưa,Phi
Đen,To,Đen,Trắng Vàng,Thấp,Xoăn,Vừa,Thưa,Au
Đen,Vừa,Đen,Nâu Sậm,Cao,Thẳng,Mỏng,Rậm,Uc
Đen,To,Đen,Nâu Sậm,Thấp,Xoăn,Mỏng,Rậm,Uc
